wikidata_iri,name,depth,wikipedia_page_id,wikipedia_url
wd:Q79529,Chemical substance,4,9722260,https://en.wikipedia.org/?curid=9722260
wd:Q273499,Chemical synthesis,4,85029,https://en.wikipedia.org/?curid=85029
wd:Q739016,Chemical thermodynamics,4,5936,https://en.wikipedia.org/?curid=5936
wd:Q2931725,Chemiluminescence,4,291436,https://en.wikipedia.org/?curid=291436
wd:Q2329,Chemistry,2,5180,https://en.wikipedia.org/?curid=5180
wd:Q170050,Chromatography,4,6329,https://en.wikipedia.org/?curid=6329
wd:Q37748,Chromosome,4,6438,https://en.wikipedia.org/?curid=6438
wd:Q506874,Chronobiology,3,56566,https://en.wikipedia.org/?curid=56566
wd:Q5121567,Circuit (computer science),4,27753031,https://en.wikipedia.org/?curid=27753031
wd:Q11068,Circulatory system,4,57330,https://en.wikipedia.org/?curid=57330
wd:Q1713,Citation,4,97585,https://en.wikipedia.org/?curid=97585
wd:Q77590,Civil engineering,2,5762,https://en.wikipedia.org/?curid=5762
wd:Q5950118,Civil law (legal system),4,1048798,https://en.wikipedia.org/?curid=1048798
wd:Q486761,Classical antiquity,3,252905,https://en.wikipedia.org/?curid=252905
wd:Q908596,Classical definition of probability,4,917778,https://en.wikipedia.org/?curid=917778
wd:Q271857,Classical economics,4,227141,https://en.wikipedia.org/?curid=227141
wd:Q54881,Classical genetics,4,38203371,https://en.wikipedia.org/?curid=38203371
wd:Q236975,Classical logic,3,55868,https://en.wikipedia.org/?curid=55868
wd:Q11397,Classical mechanics,4,19555586,https://en.wikipedia.org/?curid=19555586
wd:Q912270,Click chemistry,4,1850601,https://en.wikipedia.org/?curid=1850601
wd:Q146813,Client–server model,4,6513,https://en.wikipedia.org/?curid=6513
wd:Q7937,Climate,3,5999,https://en.wikipedia.org/?curid=5999
wd:Q125928,Climate change,4,5042951,https://en.wikipedia.org/?curid=5042951
wd:Q1931364,Climate change denial,4,12474403,https://en.wikipedia.org/?curid=12474403
wd:Q898653,Climate change mitigation,4,2119179,https://en.wikipedia.org/?curid=2119179
wd:Q1724625,Climate of the United States,4,14831788,https://en.wikipedia.org/?curid=14831788
wd:Q52139,Climatology,4,142440,https://en.wikipedia.org/?curid=142440
wd:Q849994,Clinical chemistry,4,65622,https://en.wikipedia.org/?curid=65622
wd:Q3275615,Clinical engineering,4,4593785,https://en.wikipedia.org/?curid=4593785
wd:Q199906,Clinical psychology,4,492271,https://en.wikipedia.org/?curid=492271
wd:Q483639,Cloud computing,3,19541494,https://en.wikipedia.org/?curid=19541494
wd:Q2499178,Cloud database,4,33354721,https://en.wikipedia.org/?curid=33354721
wd:Q1797362,Coastal engineering,4,15588021,https://en.wikipedia.org/?curid=15588021
wd:Q1421309,Coastal geography,4,2160676,https://en.wikipedia.org/?curid=2160676
wd:Q602136,Coding theory,4,321869,https://en.wikipedia.org/?curid=321869
wd:Q508969,Cognitive linguistics,4,72711,https://en.wikipedia.org/?curid=72711
wd:Q1138951,Cognitive neuroscience,4,50326,https://en.wikipedia.org/?curid=50326
wd:Q23373,Cognitive psychology,4,5961,https://en.wikipedia.org/?curid=5961
